,0
#N/A,1100
#N/A,2200
#N/A,2500
#N/A,1300
#N/A,2200
#N/A,1700
#N/A,1800
#N/A,1600
#N/A,1700
#N/A,1800
#N/A,2800
#N/A,1600
#N/A,1300
#N/A,1900
#N/A,1100
#N/A,1400
#N/A,1600
#N/A,1800
#N/A,1700
#N/A,1800
#N/A,1300
#N/A,800
#N/A,2100
#N/A,2300
#N/A,1800
#N/A,2100
#N/A,1000
#N/A,3300
#N/A,1300
#N/A,1600
#N/A,2500
#N/A,1500
#N/A,2000
#N/A,1700
#N/A,1200
#N/A,1200
#N/A,2000
#N/A,1000
#N/A,1400
#N/A,2100
#N/A,1400
#N/A,1800
#N/A,1700
#N/A,700
#N/A,1700
#N/A,1800
#N/A,1000
#N/A,1400
#N/A,2700
#N/A,1200
#N/A,1800
#N/A,1800
#N/A,2100
#N/A,2000
#N/A,2000
#N/A,700
#N/A,1900
#N/A,1200
#N/A,2200
#N/A,2100
#N/A,1100
#N/A,1700
#N/A,2300
#N/A,1500
#N/A,1900
#N/A,1400
#N/A,1900
#N/A,1500
#N/A,1200
#N/A,1700
#N/A,3000
#N/A,2300
#N/A,1000
#N/A,1400
#N/A,1600
#N/A,2100
#N/A,1700
#N/A,2800
#N/A,2000
#N/A,1300
#N/A,1900
#N/A,1300
#N/A,1200
#N/A,1400
#N/A,1600
#N/A,1100
#N/A,1900
#N/A,900
#N/A,2100
#N/A,1300
#N/A,1100
#N/A,1000
#N/A,1200
#N/A,2500
#N/A,1800
#N/A,2000
#N/A,1800
#N/A,1400
#N/A,1800
1695,2500
1698,1400
1699,2300
1694,2000
1704,2300
1691,900
1691,1700
1694,2100
1699,2100
1698,1600
1695,1500
1685,1800
1689,2000
1691,1500
1700,2800
1710,2100
1710,1400
1708,1400
1705,1500
1718,3000
1717,1700
1718,1400
1735,2500
1742,2800
1734,1500
1726,1000
1720,1500
1725,1500
1715,2300
1714,1200
1718,2000
1709,1600
1717,2300
1714,1700
1709,1200
1708,1100
1716,2000
1716,2000
1722,1600
1733,2500
1732,2000
1747,2900
1748,1900
1744,1300
1757,2000
1764,2400
1770,2400
1778,1800
1789,2500
1786,2400
1801,2700
1819,3600
1819,1800
1823,2500
1830,2700
1825,1500
1840,2200
1837,1600
1843,1800
1850,2900
1851,2200
1866,2600
1864,1500
1856,1500
1871,3000
1869,1700
1872,1700
1871,1800
1878,2200
1889,2300
1885,1300
1860,500
1850,1300
1860,2000
1873,2700
1875,1800
1872,1800
1862,700
1845,1100
1842,1700
1843,1400
1834,1000
1832,1100
1855,3500
1867,2600
1871,2000
1876,1600
1879,2200
1890,2000
1884,1500
1897,2600
1899,1300
1917,2800
1915,1000
1912,2200
1917,2300
1908,1100
1902,1200
1901,1300
1895,1200
1885,1500
1885,1400
1875,1300
1864,900
1859,1800
1874,2400
1861,400
1867,2700
1859,1300
1852,900
1848,1100
1835,500
1827,1200
1833,2100
1830,2500
1831,2200
1831,1400
1833,1600
1839,2100
1825,1600
1829,2100
1828,1300
1819,1600
1808,1700
1812,1900
1818,1600
1817,1400
1827,2500
1828,2400
1829,1300
1815,600
1818,1900
1811,1600
1808,1400
1823,2700
1899,8700
1904,2500
1900,1600
1905,2100
1900,2000
1896,1600
1882,1500
1887,2400
1897,2300
1893,1600
1892,2300
1898,3000
1903,2300
1892,1400
1886,1800
1875,1600
1851,1200
1844,1100
1837,1800
1824,1400
1822,1300
1822,2200
1822,1600
1816,1200
1800,1300
1793,1500
1799,3200
1812,2800
1819,2200
1815,2600
1842,4400
1839,1400
1840,1900
1840,2200
1836,1900
1839,1600
1841,700
1847,1900
1852,2500
1848,2300
1838,800
1840,2000
1865,3200
1864,1000
1863,1600
1859,1000
1874,2500
1880,1700
1865,2000
1855,1600
1848,1300
1845,1300
1830,700
1826,1600
1844,3300
1826,800
1827,1400
1807,800
1821,2400
1808,900
1796,1100
1793,800
1803,2200
1807,1700
1812,1700
1822,2500
1822,1400
1821,1200
1835,2300
1822,500
1818,2000
1831,1700
1826,2200
1825,1200
1831,1500
1838,1800
1849,1600
1854,1700
1845,1200
1835,1500
1820,700
1818,1200
1808,600
1787,0
1787,1600
1787,2100
1789,1500
1775,200
1766,800
1757,1000
1763,2200
1752,300
1737,1000
1737,2400
1739,1500
1757,2400
1748,1000
1762,3000
1766,1800
1755,1600
1681,1300
1673,1700
1672,1500
1667,1600
1663,1600
1678,3100
1681,1800
1663,600
1646,600
1636,600
1631,1800
1604,300
1593,1200
1610,3100
1626,3400
1635,2500
1663,4000
1680,2800
1677,1500
1680,1700
1689,2200
1674,700
1671,1300
1672,1300
1688,2900
1689,1600
1673,1600
1674,2900
1666,1400
1666,2600
1639,1700
1640,1500
1635,1400
1634,2100
1627,1200
1633,2200
1647,2100
1643,1500
1631,1300
1613,500
1625,2000
1635,3000
1624,2100
1622,800
